date, pm25, pm10, o3, no2, so2, co
2020/5/1, 85, 40, 27, 2, 2, 2
2020/5/2, 79, 60, 21, 1, 3, 2
2020/5/3, 119, 58, 30, 10, 4, 4
2020/5/4, 111, 49, 28, 13, 6, 6
2020/5/5, 99, 64, 24, 5, 6, 5
2020/5/6, 92, , , , , 
2020/5/8, 80, 42, 25, 2, 3, 3
2020/5/9, 71, 45, 29, 3, 5, 4
2020/5/10, 82, 55, 29, 3, 5, 3
2020/5/11, 104, 42, 36, 3, 5, 3
2020/5/12, 87, 55, 22, 4, 5, 3
2020/5/13, 99, 47, 18, 3, 3, 3
2020/5/14, 90, 52, 22, 3, 4, 3
2020/5/15, 78, 51, 29, 3, 4, 3
2020/5/16, 78, 53, 32, 3, 3, 3
2020/5/17, 77, 156, 34, 4, 8, 3
2020/5/18, 116, 39, 26, 4, 3, 3
2020/5/19, 79, 45, 28, 5, 4, 3
2020/5/20, 91, 60, 28, 3, 5, 4
2020/5/21, 99, 66, 24, 3, 3, 3
2020/5/22, 102, 61, 20, 4, 3, 3
2020/5/23, 86, 59, 24, 3, 3, 2
2020/5/24, 91, 50, 21, 4, 3, 3
2020/5/25, 82, 43, 22, 4, 3, 3
2020/5/26, 81, 68, 28, 4, 3, 4
2020/5/27, 114, 104, 31, 5, 7, 4
2020/5/28, 122, 106, 34, 2, 3, 2
2020/5/29, 116, , , , , 
2020/4/1, 85, 43, 33, 2, 2, 1
2020/4/2, 71, 38, 34, 1, 2, 1
2020/4/3, 68, 37, 34, 2, 5, 6
2020/4/4, 66, 43, 28, 3, 5, 4
2020/4/5, 77, 50, 26, 3, 5, 4
2020/4/6, 90, 55, 24, 2, 5, 5
2020/4/7, 94, 61, 21, 2, 5, 5
2020/4/8, 94, 61, 23, 2, 4, 3
2020/4/9, 93, 60, 22, 3, 3, 3
2020/4/10, 106, 56, 25, 2, 3, 4
2020/4/11, 95, 52, 26, 2, 3, 3
2020/4/12, 95, 55, 23, 2, 4, 4
2020/4/13, 86, 47, 28, 2, 4, 3
2020/4/14, 85, 47, 23, 2, 3, 3
2020/4/15, 87, 41, 21, 2, 3, 3
2020/4/16, 77, 43, 20, 2, 3, 3
2020/4/17, 75, 47, 20, , 3, 3
2020/4/18, 76, 59, 23, , 3, 3
2020/4/19, 85, 43, 29, 3, 4, 3
2020/4/20, 72, 51, 35, 4, 3, 3
2020/4/21, 82, 52, 35, 6, 3, 3
2020/4/22, 81, 50, 23, 4, 2, 2
2020/4/23, 81, 54, 29, 3, 2, 4
2020/4/24, 82, 84, 30, 3, 2, 3
2020/4/25, 100, 51, 27, 1, 2, 2
2020/4/26, 71, 28, 35, 1, 2, 1
2020/4/27, 60, 33, 28, 1, 2, 1
2020/4/28, 57, 48, 28, 3, 1, 3
2020/4/29, 92, 52, 32, 3, 2, 3
2020/4/30, 99, 46, 35, 2, 2, 2
2020/3/1, 120, 70, 33, 7, 8, 11
2020/3/2, 127, 66, 23, 8, 6, 9
2020/3/3, 117, 66, 30, 10, 5, 7
2020/3/4, 108, 77, 32, 13, 4, 8
2020/3/5, 128, 69, 30, 9, 4, 11
2020/3/6, 104, 56, 32, 5, 5, 9
2020/3/7, 95, 48, 33, 5, 6, 9
2020/3/8, 85, 53, 32, 5, 6, 9
2020/3/9, 91, 59, 38, 3, 6, 6
2020/3/10, 99, 61, 36, 1, 4, 5
2020/3/11, 91, 55, 30, 8, 4, 6
2020/3/12, 81, 81, 30, 11, 4, 5
2020/3/13, 123, 64, 33, 9, 4, 4
2020/3/14, 108, 64, 32, 14, 6, 6
2020/3/15, 117, 56, 39, 15, 8, 13
2020/3/16, 100, 64, 40, 14, 8, 12
2020/3/17, 123, 62, 32, 10, 6, 12
2020/3/18, 116, 66, 24, 9, 7, 17
2020/3/19, 122, 66, 22, 6, 6, 7
2020/3/20, 114, 55, 19, 4, 6, 6
2020/3/21, 97, 50, 22, 2, 5, 3
2020/3/22, 87, 37, 15, 2, 4, 6
2020/3/23, 71, 41, 17, 2, 7, 5
2020/3/24, 85, 39, 22, 1, 4, 3
2020/3/25, 75, 29, 22, 1, 4, 3
2020/3/26, 56, 26, 20, 1, 6, 7
2020/3/27, 55, 38, 31, 1, 4, 4
2020/3/28, 69, 36, 35, 2, 2, 3
2020/3/29, 68, 38, 37, 3, 2, 2
2020/3/30, 68, 44, 39, 2, 2, 2
2020/3/31, 70, 56, 28, 2, 2, 2
2020/2/1, 108, 74, 30, 17, 6, 12
2020/2/2, 117, 82, 27, 19, 6, 15
2020/2/3, 134, 72, 29, 15, 4, 12
2020/2/4, 124, 75, 30, 17, 7, 12
2020/2/5, 119, 74, 39, 16, 6, 12
2020/2/6, 126, 66, 33, 14, 5, 9
2020/2/7, 115, 71, 27, 17, 7, 10
2020/2/8, 127, 74, 31, 16, 6, 11
2020/2/9, 130, 83, 43, 13, 10, 16
2020/2/10, 134, 89, 30, 10, 6, 15
2020/2/11, 146, 91, 30, 10, 7, 15
2020/2/12, 150, 75, 29, 9, 3, 10
2020/2/13, 128, 76, 33, 12, 3, 12
2020/2/14, 125, 81, 33, 15, 4, 17
2020/2/15, 130, 78, 28, 15, 4, 11
2020/2/16, 131, 70, 23, 13, 4, 13
2020/2/17, 116, 64, 26, 8, 3, 13
2020/2/18, 101, 68, 47, 9, 4, 13
2020/2/19, 109, 75, 26, 8, 7, 10
2020/2/20, 131, 68, 32, 10, 5, 8
2020/2/21, 115, 67, 34, 15, 7, 10
2020/2/22, 119, 70, 39, 11, 5, 9
2020/2/23, 140, 78, 22, 14, 7, 14
2020/2/24, 146, 73, 29, 14, 5, 15
2020/2/25, 128, 75, 26, 10, 4, 9
2020/2/26, 126, 70, 30, 7, 10, 14
2020/2/27, 118, 80, 37, 7, 7, 13
2020/2/28, 142, 71, 38, 6, 8, 9
2020/2/29, 132, 67, 33, 5, 7, 8
2020/1/1, 163, 95, 24, 9, 3, 8
2020/1/2, 165, 82, 21, 12, 3, 11
2020/1/3, 147, 85, 21, 13, 3, 12
2020/1/4, 143, 87, 21, 13, 3, 10
2020/1/5, 141, 85, 15, 14, 3, 14
2020/1/6, 134, 69, 33, 12, 3, 12
2020/1/7, 112, 54, 24, 8, 3, 4
2020/1/8, 86, 54, 22, 10, 4, 8
2020/1/9, 89, 61, 23, 13, 5, 10
2020/1/10, 100, 83, 23, 14, 7, 14
2020/1/11, 124, 76, 24, 13, 5, 12
2020/1/12, 127, 74, 19, 12, 3, 12
2020/1/13, 125, 69, 22, 10, 4, 11
2020/1/14, 109, 69, 25, 9, 5, 9
2020/1/15, 119, 75, 25, 7, 3, 8
2020/1/16, 143, 76, 28, 10, 4, 10
2020/1/17, 135, 77, 25, 12, 4, 9
2020/1/18, 141, 61, 30, 10, 4, 7
2020/1/19, 106, 79, 26, 14, 4, 15
2020/1/20, 128, 80, 25, 14, 4, 13
2020/1/21, 127, 54, 32, 11, 4, 9
2020/1/22, 88, 65, 28, 11, 9, 12
2020/1/23, 103, 81, 28, 15, 7, 15
2020/1/24, 115, 84, 30, 15, 6, 17
2020/1/25, 118, 84, 25, 14, 4, 14
2020/1/26, 121, 72, 18, 12, 3, 10
2020/1/27, 103, 63, 28, 9, 3, 8
